"MGRS_10km","n.taxa","n.neigh","ratio","diff"
"29SPE12",168,542,2.22619047619048,374
"29SPE11",167,520,2.11377245508982,353
"29SPE01",111,519,3.67567567567568,408
"29SPE00",229,587,1.56331877729258,358
"29SPE02",201,580,1.88557213930348,379
"29SPB57",174,439,1.52298850574713,265
"29SPB56",196,467,1.38265306122449,271
"29SPB59",244,616,1.52459016393443,372
"29SPB58",196,512,1.61224489795918,316
"29SPB51",125,715,4.72,590
"29SPB53",189,741,2.92063492063492,552
"29SPB52",225,777,2.45333333333333,552
"29SPB55",195,504,1.58461538461538,309
"29SPB54",217,539,1.48387096774194,322
"29SPB46",148,532,2.59459459459459,384
"29SPB45",221,564,1.55203619909502,343
"29SPB48",226,550,1.43362831858407,324
"29SPB47",216,480,1.22222222222222,264
"29SPB49",129,631,3.89147286821705,502
"29SPB42",351,866,1.46723646723647,515
"29SPB41",369,795,1.15447154471545,426
"29SPB44",207,629,2.03864734299517,422
"29SPB43",212,773,2.64622641509434,561
"29SPB79",243,526,1.16460905349794,283
"29SPB78",94,512,4.4468085106383,418
"29SPB71",163,721,3.42331288343558,558
"29SPB73",184,790,3.29347826086957,606
"29SPB72",348,781,1.24425287356322,433
"29SPB75",211,529,1.50710900473934,318
"29SPB74",209,587,1.80861244019139,378
"29SPB77",168,435,1.58928571428571,267
"29SPB76",199,470,1.36180904522613,271
"29SPB68",101,473,3.68316831683168,372
"29SPB67",166,405,1.43975903614458,239
"29SPB69",225,588,1.61333333333333,363
"29SPB62",443,690,0.557562076749436,247
"29SPB61",114,630,4.52631578947368,516
"29SPB64",222,540,1.43243243243243,318
"29SPB63",215,710,2.30232558139535,495
"29SPB66",166,456,1.74698795180723,290
"29SPB65",244,504,1.0655737704918,260
"29SPB13",210,602,1.86666666666667,392
"29SPB12",203,864,3.25615763546798,661
"29SPB15",229,600,1.62008733624454,371
"29SPB14",221,560,1.53393665158371,339
"29SPB17",307,612,0.993485342019544,305
"29SMD96",289,966,2.34256055363322,677
"29SPB16",429,618,0.440559440559441,189
"29SMD95",162,963,4.94444444444444,801
"29SPB19",156,658,3.21794871794872,502
"29SMD98",323,681,1.10835913312693,358
"29SPB18",248,638,1.57258064516129,390
"29SMD97",279,926,2.31899641577061,647
"29SMD99",147,502,2.41496598639456,355
"29SPB11",463,968,1.09071274298056,505
